# t (s)	mx ()	my ()	mz ()	B_demag.region0x (T)	B_demag.region0y (T)	B_demag.region0z (T)	m_full.region0x (A/m)	m_full.region0y (A/m)	m_full.region0z (A/m)
1.1442052690095421e-09	0.0007252443	0.00020120756	0.9427657	-4.7480995e-07	-9.996461e-08	0.00018754172	0	0	0
1.1461794082765675e-09	0.00076241663	0.00023419345	0.9427252	-5.060407e-07	-1.2066357e-07	0.00018752569	0	0	0
1.1482160087255777e-09	0.00079247635	0.00026379534	0.94269437	-5.323941e-07	-1.3914632e-07	0.00018751337	0	0	0
1.1502003360585748e-09	0.00079000264	0.00029544707	0.9426548	-5.358505e-07	-1.592457e-07	0.00018751026	0	0	0
1.1522072500968784e-09	0.0007935177	0.0003337769	0.94258624	-5.4375886e-07	-1.8424521e-07	0.0001874649	0	0	0
1.1542279430876818e-09	0.00072230975	0.00035705918	0.942543	-5.0029075e-07	-1.9918798e-07	0.00018744865	0	0	0
1.1562709638355475e-09	0.0007444202	0.00039040355	0.9425337	-5.2229313e-07	-2.2203494e-07	0.00018747245	0	0	0
1.15826071042339e-09	0.0006916482	0.00044693277	0.94255066	-4.919016e-07	-2.619413e-07	0.00018751953	0	0	0
1.1602742655833133e-09	0.0006987677	0.00057229353	0.94254094	-5.0274554e-07	-3.5091762e-07	0.00018753388	0	0	0
1.1622899960913989e-09	0.00066021876	0.00063268916	0.94249344	-4.812026e-07	-3.95626e-07	0.00018751921	0	0	0
1.1642991393265924e-09	0.0005817438	0.0006836435	0.942509	-4.3166483e-07	-4.3452e-07	0.00018756338	0	0	0
1.1662829115957877e-09	0.00047324708	0.0007457092	0.9424836	-3.604925e-07	-4.815344e-07	0.000187569	0	0	0
1.168306462356445e-09	0.00039399945	0.0007008227	0.9424691	-3.0912295e-07	-4.5517083e-07	0.0001875798	0	0	0
1.1702900419473753e-09	0.00027086464	0.00070980017	0.94239616	-2.2664301e-07	-4.6697824e-07	0.00018752525	0	0	0
1.1722934142450243e-09	0.00016547927	0.00070309255	0.94236106	-1.5604616e-07	-4.680578e-07	0.00018751093	0	0	0
1.1743174158206946e-09	9.703436e-05	0.00074010936	0.94235355	-1.1081113e-07	-5.000388e-07	0.00018753295	0	0	0
1.1763017527707942e-09	2.4653767e-05	0.0007112902	0.9423256	-6.183987e-08	-4.8671745e-07	0.00018753008	0	0	0
1.178307103618705e-09	2.5370158e-05	0.0006568999	0.9422989	-6.221259e-08	-4.5619527e-07	0.00018753075	0	0	0
1.1803319710103022e-09	3.871324e-05	0.00063852814	0.94228476	-7.007145e-08	-4.5100296e-07	0.00018754852	0	0	0
1.182002855741104e-09	-3.4714933e-06	0.00061688724	0.9422908	-3.906672e-08	-4.4226272e-07	0.00018758776	0	0	0
1.1840230739423242e-09	1.8569059e-05	0.00057358237	0.94228315	-5.1252357e-08	-4.1948852e-07	0.00018760866	0	0	0
1.1860454540171334e-09	2.1135318e-06	0.0006290037	0.94232714	-3.5335205e-08	-4.647327e-07	0.00018769353	0	0	0
1.1880533048601498e-09	-7.7357065e-05	0.0006020417	0.9422957	2.5266587e-08	-4.518057e-07	0.00018768682	0	0	0
1.190070323969583e-09	-1.2645917e-05	0.00060815696	0.94222057	-1.4016678e-08	-4.6131527e-07	0.00018762788	0	0	0
1.1920906663593774e-09	-2.4198158e-05	0.00058319705	0.9421972	2.6034286e-11	-4.487497e-07	0.00018763272	0	0	0
1.194115713518409e-09	-5.4113603e-05	0.00051244255	0.9421552	2.7507497e-08	-4.0431132e-07	0.00018761904	0	0	0
1.196121412070339e-09	-0.000105810934	0.00053453643	0.9421117	7.062329e-08	-4.2378815e-07	0.00018759415	0	0	0
1.1981184052676265e-09	-6.2801635e-05	0.00057112635	0.94203794	4.818955e-08	-4.5264278e-07	0.00018754324	0	0	0
1.2001237256936364e-09	-0.00014119584	0.00061547174	0.94200814	1.1049622e-07	-4.867197e-07	0.00018754386	0	0	0
1.2021482125338024e-09	-0.00012088836	0.0006087493	0.9419792	1.047556e-07	-4.845215e-07	0.00018754968	0	0	0
1.2041752320998105e-09	-0.00017631266	0.0006235611	0.94197655	1.520838e-07	-4.9585765e-07	0.00018757125	0	0	0
1.2061961162761397e-09	-0.00018261479	0.0006423175	0.941934	1.6468627e-07	-5.0857034e-07	0.00018755216	0	0	0
1.2081825888666834e-09	-0.00022940102	0.00059563975	0.9418968	2.0500727e-07	-4.7425516e-07	0.00018755015	0	0	0
1.2101850073306138e-09	-0.00028469804	0.0005253331	0.9418911	2.5051847e-07	-4.2202043e-07	0.00018758471	0	0	0
1.212196412237734e-09	-0.00025914627	0.0004836542	0.9419031	2.3933626e-07	-3.8847975e-07	0.00018763299	0	0	0
1.2141996126550987e-09	-0.00032413838	0.00045753265	0.9418702	2.8983408e-07	-3.645755e-07	0.00018762775	0	0	0
1.216142715057408e-09	-0.00041266036	0.00042833606	0.9418004	3.5636248e-07	-3.3852257e-07	0.00018758276	0	0	0
1.2181479218169928e-09	-0.00038782257	0.00035932992	0.94173133	3.440345e-07	-2.836431e-07	0.0001875379	0	0	0
1.2201550256997687e-09	-0.00037186226	0.00041377748	0.94170856	3.3742202e-07	-3.1385844e-07	0.00018754126	0	0	0
1.2221081742671594e-09	-0.00041496233	0.00040626037	0.941662	3.7124005e-07	-3.0072806e-07	0.00018752115	0	0	0
1.2240929443834934e-09	-0.00043801544	0.00038334425	0.9416164	3.900381e-07	-2.763054e-07	0.00018749987	0	0	0
1.2260965983265016e-09	-0.00048154895	0.00027236168	0.94159496	4.218968e-07	-1.9026947e-07	0.0001875141	0	0	0
1.2281099728260029e-09	-0.0005117666	0.0002295482	0.9415328	4.4325114e-07	-1.5156365e-07	0.00018746915	0	0	0
1.2301335806451308e-09	-0.00058450946	0.00017701903	0.9414753	4.9291305e-07	-1.0611109e-07	0.00018743785	0	0	0
1.2321619692431207e-09	-0.0006216051	0.00012321703	0.94146454	5.163857e-07	-5.9550075e-08	0.00018745552	0	0	0
1.234157856918644e-09	-0.0006459542	8.4331376e-05	0.94143647	5.297568e-07	-2.4108886e-08	0.00018746093	0	0	0
1.2361339087010593e-09	-0.0006963108	-1.0642303e-05	0.9414113	5.5961686e-07	4.9985033e-08	0.00018746583	0	0	0
1.2381216938562078e-09	-0.00065946043	-2.3090022e-05	0.94139403	5.275907e-07	6.5920176e-08	0.00018747809	0	0	0
1.240116125487586e-09	-0.0006560841	-8.76314e-05	0.941336	5.1813913e-07	1.1731481e-07	0.00018745312	0	0	0
1.242133082977423e-09	-0.00057688233	-0.00012347566	0.9412959	4.5557368e-07	1.483786e-07	0.00018743651	0	0	0
1.2441396121448902e-09	-0.00057426887	-0.000160289	0.94125766	4.45708e-07	1.7923185e-07	0.00018742775	0	0	0
1.2461137709348793e-09	-0.0005761564	-0.0002472808	0.9412468	4.3854214e-07	2.4375595e-07	0.00018744745	0	0	0
1.2481193489504034e-09	-0.0005895955	-0.00030172235	0.94121057	4.3898314e-07	2.8438305e-07	0.00018743669	0	0	0
1.250141439302626e-09	-0.0005988857	-0.00037046726	0.9411806	4.3631195e-07	3.3373e-07	0.00018743954	0	0	0
1.2521173732846102e-09	-0.0005813917	-0.00041386997	0.94118387	4.1499558e-07	3.6399433e-07	0.00018747505	0	0	0
1.2541388664782249e-09	-0.0005737668	-0.0004380513	0.94112766	4.0048096e-07	3.7986456e-07	0.0001874421	0	0	0
1.2561521138472674e-09	-0.0005929361	-0.0005240253	0.94108886	4.0486492e-07	4.3838781e-07	0.00018743447	0	0	0
1.25816198013974e-09	-0.00056732335	-0.00053679757	0.9410454	3.7833516e-07	4.4498177e-07	0.00018741642	0	0	0
1.2601876743807003e-09	-0.00053299684	-0.00057860307	0.9410466	3.461002e-07	4.7072172e-07	0.00018745297	0	0	0
1.2621783456864688e-09	-0.0005435475	-0.0005770949	0.9410383	3.4514173e-07	4.6551034e-07	0.00018748164	0	0	0
1.2641975142620567e-09	-0.00054193416	-0.00055824936	0.94102335	3.3580125e-07	4.4774242e-07	0.00018749965	0	0	0
1.2662019628198848e-09	-0.0005022214	-0.00058621995	0.9410456	3.0043122e-07	4.6174864e-07	0.00018756367	0	0	0
1.2682061968692125e-09	-0.000472728	-0.00059528963	0.94099486	2.7335676e-07	4.615231e-07	0.00018753347	0	0	0
1.2702131636974292e-09	-0.00043297576	-0.0006388555	0.94093513	2.4013153e-07	4.8394077e-07	0.00018750588	0	0	0
1.2722412105425624e-09	-0.00037422945	-0.000728221	0.94091785	1.9554042e-07	5.3744543e-07	0.00018751444	0	0	0
1.2742289986105596e-09	-0.0003660224	-0.0006581504	0.94089127	1.8746829e-07	4.8023185e-07	0.0001875167	0	0	0
1.2762561094768965e-09	-0.00026854913	-0.00074881397	0.9408857	1.1839978e-07	5.349391e-07	0.00018754836	0	0	0
1.2782896196821597e-09	-0.00026637205	-0.0007587314	0.94086015	1.167337e-07	5.338088e-07	0.00018755384	0	0	0
1.2803113133018117e-09	-0.00026256315	-0.00078988913	0.940818	1.1464661e-07	5.4810516e-07	0.00018753925	0	0	0
1.2823250728883435e-09	-0.00019057839	-0.00080757804	0.94075286	6.583227e-08	5.537879e-07	0.0001875001	0	0	0
1.2843273347610429e-09	-6.184516e-05	-0.0008097019	0.9407137	-2.2318346e-08	5.4919565e-07	0.00018748699	0	0	0
1.2860188750725546e-09	-2.7242326e-05	-0.00084633485	0.94073266	-4.472909e-08	5.694883e-07	0.0001875447	0	0	0
1.288030510333352e-09	9.1697744e-05	-0.0009038996	0.9406929	-1.2441157e-07	6.032192e-07	0.00018753407	0	0	0
1.2900429839507305e-09	0.00014011294	-0.0008264195	0.94064605	-1.544814e-07	5.429115e-07	0.00018751931	0	0	0
1.2920356641850307e-09	0.00017890456	-0.00087615626	0.94059813	-1.7713359e-07	5.7142597e-07	0.00018750291	0	0	0
1.2940282473063337e-09	0.00031004313	-0.0007440251	0.9405736	-2.6316948e-07	4.7387948e-07	0.00018750009	0	0	0
