# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
4.00064537050399e-10	-0.0003853587	0.006436807	0.7725776	0	0	0.25	4.934366e-16	-4.0726106e-16	4.400135e-16	6.6162395e-16	-2.0252656e-16	-8.695256	750	2.9177556e-06
4.100936305400068e-10	-0.0021944002	0.003530827	0.7720993	0	0	0.25	4.9234537e-16	-4.070364e-16	4.398767e-16	6.602086e-16	-2.0240118e-16	-5.5177445	750	2.8675165e-06
4.201008570172721e-10	-0.003892356	0.002978916	0.77088916	0	0	0.25	4.8676824e-16	-4.0593908e-16	4.3861293e-16	6.6526566e-16	-2.0208397e-16	-4.7184124	750	4.8043735e-06
4.3011980479434596e-10	-0.0033232714	0.0016844313	0.7701909	0	0	0.25	4.8808865e-16	-4.05607e-16	4.3842423e-16	6.639894e-16	-2.0190093e-16	-8.524371	750	4.502535e-06
4.4011761832288125e-10	-0.001393522	0.0018053503	0.7686729	0	0	0.25	4.976699e-16	-4.0520727e-16	4.3780454e-16	6.6310117e-16	-2.0150298e-16	-7.002822	750	2.8053223e-06
4.5005209667484076e-10	-0.0015799198	0.003022681	0.7673604	0	0	0.25	5.0505536e-16	-4.0342297e-16	4.3618613e-16	6.664803e-16	-2.0115892e-16	-5.3903084	750	2.519483e-06
4.6009733312412116e-10	-0.0008505876	0.0006180613	0.76647925	0	0	0.25	4.929488e-16	-4.0334348e-16	4.3585073e-16	6.6622746e-16	-2.009279e-16	-6.1998944	750	2.8487318e-06
4.701220160124869e-10	0.001106133	-0.0029731942	0.7668444	0	0	0.25	5.0855694e-16	-4.0343782e-16	4.3628994e-16	6.652666e-16	-2.0102367e-16	-6.536978	750	2.8910192e-06
4.800414450841236e-10	0.0032043925	-0.0032556576	0.7663461	0	0	0.25	4.9820376e-16	-4.0320055e-16	4.3586767e-16	6.66471e-16	-2.0089304e-16	-5.3236914	750	2.080576e-06
4.900341138563713e-10	0.0050883554	-0.0046665063	0.7673443	0	0	0.25	5.0410483e-16	-4.0477105e-16	4.3725508e-16	6.681862e-16	-2.011547e-16	-5.4504657	750	3.36995e-06
5.000859342777943e-10	0.009835634	-0.0013090713	0.76911557	0	0	0.25	4.857422e-16	-4.0572584e-16	4.3839755e-16	6.6337275e-16	-2.0161904e-16	-9.32932	750	3.9605243e-06
5.101028718496316e-10	0.011723263	0.00091253873	0.76849395	0	0	0.25	4.9113035e-16	-4.057628e-16	4.3830548e-16	6.664089e-16	-2.0145609e-16	-7.6157656	750	4.4663775e-06
5.200228122261376e-10	0.011082783	0.005415799	0.7688321	0	0	0.25	4.8493425e-16	-4.054525e-16	4.384041e-16	6.6610004e-16	-2.0154471e-16	-8.042087	750	3.1494428e-06
5.300453517676774e-10	0.008359419	0.0046542324	0.768307	0	0	0.25	4.8450105e-16	-4.0497521e-16	4.378365e-16	6.5921557e-16	-2.0140703e-16	-8.03748	750	2.2470879e-06
5.401343018464885e-10	0.0060639614	0.0071467035	0.7687431	0	0	0.25	5.023059e-16	-4.0545138e-16	4.3829826e-16	6.5986625e-16	-2.0152137e-16	-6.3253903	750	3.2804978e-06
5.500115197490633e-10	0.008098263	0.006428067	0.7695594	0	0	0.25	5.029537e-16	-4.055709e-16	4.3844485e-16	6.611417e-16	-2.0173538e-16	-7.4996624	750	3.2205096e-06
5.600290948759571e-10	0.0056754826	0.008684016	0.7705452	0	0	0.25	4.799484e-16	-4.069337e-16	4.3964446e-16	6.6098613e-16	-2.0199379e-16	-6.704822	750	3.8888948e-06
