# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
4.100075259633497e-10	-0.0021638572	-0.001981354	0.22812107	0	0	0.400001	1.0323617e-14	-1.9348967e-16	1.9302221e-16	1.0494793e-14	-1.735014e-16	-27.536987	600	4.3858097e-05
4.200406001692223e-10	-0.0008784122	-0.0015345266	0.22869068	0	0	0.400001	1.02983545e-14	-1.9345448e-16	1.9313541e-16	1.04827485e-14	-1.7393463e-16	-29.160385	600	3.1017622e-05
4.30044632044833e-10	0.00060687785	-0.0027442898	0.2287881	0	0	0.400001	1.0311077e-14	-1.9363636e-16	1.9332206e-16	1.0485242e-14	-1.7400869e-16	-24.86254	600	2.9354353e-05
4.40021319638865e-10	0.0010223421	-0.0018154306	0.22873819	0	0	0.400001	1.0319205e-14	-1.9334659e-16	1.9333531e-16	1.0488252e-14	-1.7397073e-16	-31.473269	600	4.1998144e-05
4.5001839971761576e-10	0.0020890662	-6.685416e-05	0.22730333	0	0	0.400001	1.03361745e-14	-1.9333342e-16	1.9299811e-16	1.0495503e-14	-1.7287945e-16	-39.4095	600	2.4199831e-05
4.6003314133905687e-10	0.0024903347	0.0009930609	0.22770397	0	0	0.400001	1.0332919e-14	-1.9307693e-16	1.9317762e-16	1.0488551e-14	-1.7318417e-16	-25.698214	600	3.3761233e-05
4.700522341455083e-10	0.0023539881	0.0013316484	0.22673112	0	0	0.400001	1.0321977e-14	-1.9292913e-16	1.9312873e-16	1.0494128e-14	-1.7244425e-16	-19.881739	600	3.906753e-05
4.800561754894293e-10	0.0016371817	0.0018630688	0.22675838	0	0	0.400001	1.0319813e-14	-1.929587e-16	1.9306516e-16	1.0496053e-14	-1.7246497e-16	-31.355228	600	2.8717743e-05
4.900534891767206e-10	-0.0008989109	0.002821666	0.22760051	0	0	0.400001	1.0313879e-14	-1.9298886e-16	1.9308831e-16	1.04875605e-14	-1.7310548e-16	-24.867996	600	2.7809398e-05
5.000695628115961e-10	-0.0012986877	0.0014103875	0.22775309	0	0	0.400001	1.03083884e-14	-1.9321216e-16	1.9294747e-16	1.0481506e-14	-1.7322153e-16	-46.36099	600	2.6871932e-05
5.100720848893832e-10	-0.002376713	0.00090408174	0.22889262	0	0	0.400001	1.0316711e-14	-1.9339501e-16	1.9309136e-16	1.0484574e-14	-1.7408822e-16	-19.24076	600	2.2740112e-05
5.200563225484564e-10	-0.00020705382	-0.00024196255	0.22826706	0	0	0.400001	1.0309358e-14	-1.9347965e-16	1.9327431e-16	1.0489252e-14	-1.7361244e-16	-21.203978	600	3.258734e-05
5.300238604770032e-10	0.00085629453	-0.00034906282	0.22873406	0	0	0.400001	1.0329748e-14	-1.9327087e-16	1.9312269e-16	1.0482219e-14	-1.7396762e-16	-22.783567	600	2.3753068e-05
5.40050329822487e-10	-0.00025050296	0.0002917002	0.22841194	0	0	0.400001	1.0291433e-14	-1.9342786e-16	1.9349071e-16	1.0479981e-14	-1.7372263e-16	-32.185528	600	4.4012366e-05
5.500097607545959e-10	2.2951193e-05	0.0006960422	0.22828193	0	0	0.400001	1.0318933e-14	-1.9332606e-16	1.9316508e-16	1.0491117e-14	-1.7362374e-16	-41.025356	600	3.0466916e-05
5.600348894618104e-10	0.00021564793	0.00071442325	0.22902825	0	0	0.400001	1.0314615e-14	-1.934575e-16	1.93288e-16	1.04820785e-14	-1.7419136e-16	-37.1528	600	2.7387998e-05
5.700776606902166e-10	-0.0005339481	0.0016963191	0.22837777	0	0	0.400001	1.0311394e-14	-1.9333415e-16	1.9324346e-16	1.0486529e-14	-1.7369665e-16	-21.404531	600	3.792425e-05
5.800689069522993e-10	-0.001448706	0.0015491281	0.22970438	0	0	0.400001	1.0299848e-14	-1.9331603e-16	1.9325935e-16	1.04845255e-14	-1.747056e-16	-29.930187	600	3.7345133e-05
5.900712194804975e-10	-0.0017170375	0.0010526854	0.23090623	0	0	0.400001	1.03153544e-14	-1.9339353e-16	1.9330443e-16	1.0484838e-14	-1.7561971e-16	-13.309177	600	3.0088398e-05
6.000206724192506e-10	-0.003163099	-0.0010355032	0.23084451	0	0	0.400001	1.0306598e-14	-1.9376726e-16	1.9374152e-16	1.0478312e-14	-1.7557278e-16	-19.822899	600	6.191235e-05
6.100782524050275e-10	-0.0005691255	-0.0027080032	0.23052157	0	0	0.400001	1.0334434e-14	-1.9321023e-16	1.929942e-16	1.0484155e-14	-1.7532715e-16	-33.36378	600	2.5051126e-05
6.200039109329179e-10	0.0012208845	-0.003192865	0.2299924	0	0	0.400001	1.0310715e-14	-1.9356494e-16	1.9337783e-16	1.0483227e-14	-1.7492466e-16	-22.668093	600	3.257453e-05
6.300009291388508e-10	0.0022248146	-0.0006183067	0.22993669	0	0	0.400001	1.0299478e-14	-1.9342296e-16	1.9359248e-16	1.0474159e-14	-1.7488229e-16	-34.342377	600	3.2381653e-05
6.400526642558328e-10	0.0021031182	0.00061949115	0.22939539	0	0	0.400001	1.0328853e-14	-1.9340381e-16	1.9308611e-16	1.0489561e-14	-1.7447059e-16	-16.255678	600	3.3284992e-05
6.500563542977757e-10	0.0005037301	0.003763305	0.22756934	0	0	0.400001	1.0313041e-14	-1.9311627e-16	1.9289996e-16	1.0496618e-14	-1.7308176e-16	-34.026566	600	3.3780605e-05
6.600455223434078e-10	-0.0010543301	0.003986704	0.22752912	0	0	0.400001	1.03204426e-14	-1.933055e-16	1.9315423e-16	1.0493897e-14	-1.7305119e-16	-21.106173	600	2.4762838e-05
6.700361634906533e-10	-0.0021041054	0.0025818285	0.22740455	0	0	0.400001	1.0322266e-14	-1.9333769e-16	1.9303144e-16	1.0489289e-14	-1.7295641e-16	-37.094116	600	2.7069458e-05
6.800648623099908e-10	-0.0018528668	0.00056135445	0.22645737	0	0	0.400001	1.0321285e-14	-1.9297973e-16	1.9277578e-16	1.0501531e-14	-1.7223605e-16	-29.344816	600	2.524691e-05
6.900123878682052e-10	-0.000506797	7.789009e-05	0.22682586	0	0	0.400001	1.03235054e-14	-1.9297164e-16	1.9273332e-16	1.0487728e-14	-1.725163e-16	-33.59884	600	3.648621e-05
7.000597193692257e-10	0.00093079696	-0.00083832146	0.22867371	0	0	0.400001	1.0332352e-14	-1.93387e-16	1.9336905e-16	1.0482647e-14	-1.7392173e-16	-24.201775	600	2.9544966e-05
7.100466274906394e-10	0.0026283562	0.00045786574	0.22771496	0	0	0.400001	1.0317145e-14	-1.9336993e-16	1.9307187e-16	1.0482833e-14	-1.7319251e-16	-36.967613	600	3.7841368e-05
7.200828637845387e-10	-3.7092803e-05	0.0009582505	0.2265319	0	0	0.400001	1.0340791e-14	-1.9295812e-16	1.9250976e-16	1.0496291e-14	-1.7229274e-16	-23.23443	600	3.2805565e-05
7.30045281140262e-10	-0.0008645002	0.0008336367	0.22743818	0	0	0.400001	1.0312437e-14	-1.9356074e-16	1.9314085e-16	1.0494117e-14	-1.7298205e-16	-18.97304	600	3.250322e-05
7.400075943638045e-10	-0.00025632908	-0.0003750211	0.2277248	0	0	0.400001	1.0298613e-14	-1.929028e-16	1.9298828e-16	1.0487111e-14	-1.7320001e-16	-25.20824	600	3.0293542e-05
7.500644753780795e-10	-0.00020717416	-0.0025269848	0.22862716	0	0	0.400001	1.0317097e-14	-1.9320585e-16	1.9311693e-16	1.0491724e-14	-1.7388632e-16	-39.838245	600	2.5393963e-05
7.60074247939704e-10	0.0018856745	-0.0014511541	0.22876868	0	0	0.400001	1.0310308e-14	-1.9342854e-16	1.9300272e-16	1.0490607e-14	-1.7399393e-16	-35.604855	600	3.437398e-05
7.700499038742538e-10	0.0026860437	0.0010534794	0.22877073	0	0	0.400001	1.0331114e-14	-1.9322607e-16	1.9304883e-16	1.0496053e-14	-1.7399551e-16	-38.598713	600	2.5515095e-05
7.80069476504146e-10	0.0020315992	0.0034164684	0.22827135	0	0	0.400001	1.0300338e-14	-1.9309678e-16	1.9291275e-16	1.0486444e-14	-1.736157e-16	-31.902586	600	2.4183784e-05
7.900438554488118e-10	0.00033248146	0.0032016328	0.22983101	0	0	0.400001	1.0284604e-14	-1.9349693e-16	1.933578e-16	1.0466421e-14	-1.7480195e-16	-32.347202	600	3.173528e-05
8.000319617270251e-10	-0.00041966097	0.0016963868	0.22874138	0	0	0.400001	1.0300765e-14	-1.9323782e-16	1.9311887e-16	1.04850405e-14	-1.7397318e-16	-29.145302	600	3.0800682e-05
8.100420683653838e-10	-0.0021493866	0.0006856269	0.22958359	0	0	0.400001	1.030971e-14	-1.9366593e-16	1.9364179e-16	1.048945e-14	-1.7461374e-16	-40.172157	600	2.9828203e-05
8.200533791892881e-10	-0.0028301692	-0.0019924964	0.22832303	0	0	0.400001	1.0301642e-14	-1.9330823e-16	1.9319625e-16	1.0495461e-14	-1.7365502e-16	-18.547266	600	2.3557912e-05
8.300164413565534e-10	-0.0008010032	-0.0020380516	0.2294422	0	0	0.400001	1.0326319e-14	-1.9336255e-16	1.9310813e-16	1.04879645e-14	-1.7450622e-16	-19.918503	600	3.7019337e-05
8.40067520699901e-10	0.0006244392	-0.0027427264	0.23177537	0	0	0.400001	1.0309251e-14	-1.9396534e-16	1.938554e-16	1.0475627e-14	-1.7628075e-16	-8.770259	600	3.266098e-05
8.500720348805595e-10	0.0026690455	-0.0015599506	0.23060445	0	0	0.400001	1.0306871e-14	-1.9373052e-16	1.9373261e-16	1.04790774e-14	-1.7539018e-16	-20.458155	600	3.77916e-05
8.600530370699329e-10	0.002646672	-0.001063469	0.2296004	0	0	0.400001	1.0310488e-14	-1.9340767e-16	1.9338783e-16	1.0479786e-14	-1.7462652e-16	-28.41538	600	2.3369574e-05
8.700025292403692e-10	0.002372937	0.0018912985	0.22863595	0	0	0.400001	1.0310485e-14	-1.9347309e-16	1.9315566e-16	1.04823554e-14	-1.7389299e-16	-24.845177	600	3.496932e-05
8.800419920940806e-10	0.0003747499	0.0024644062	0.22766553	0	0	0.400001	1.0331818e-14	-1.9337932e-16	1.9324726e-16	1.0490225e-14	-1.7315495e-16	-21.19592	600	4.6761474e-05
8.900469591873201e-10	-0.0012517243	0.0011976236	0.22840168	0	0	0.400001	1.0297741e-14	-1.9313722e-16	1.9348112e-16	1.048544e-14	-1.7371481e-16	-34.413624	600	4.038738e-05
9.000092598160596e-10	-0.0005328675	-0.00024886048	0.22796991	0	0	0.400001	1.0319051e-14	-1.9335019e-16	1.9326237e-16	1.0489231e-14	-1.7338641e-16	-25.9299	600	3.5486013e-05
9.100543386839907e-10	0.00036091666	-0.0016594984	0.22685315	0	0	0.400001	1.0319271e-14	-1.9320365e-16	1.9272928e-16	1.0496264e-14	-1.7253705e-16	-37.35812	600	3.8000813e-05
9.200839316691753e-10	0.0019779112	-0.00063812453	0.22804728	0	0	0.400001	1.02956245e-14	-1.9320246e-16	1.9325505e-16	1.0489288e-14	-1.7344528e-16	-17.56319	600	3.0589337e-05
9.300703851827302e-10	0.0027252063	0.0010656979	0.22850057	0	0	0.400001	1.0323445e-14	-1.9331182e-16	1.931274e-16	1.0491725e-14	-1.7379e-16	-26.726612	600	3.8330916e-05
